Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions	Id	Common-Name
"D-<i>myo</i>-inositol (3,4,5,6)-tetrakisphosphate biosynthesis"	Secondary Metabolite Biosynthesis	Cyclitol Biosynthesis	Eukaryota	Homo sapiens	"D-myo-inositol (3,4,5,6)-tetrakisphosphate + ATP  <-->  D-myo-inositol 1,3,4,5,6-pentakisphosphate + ADP + H+ // D-myo-inositol (1,3,4)-trisphosphate + ATP  ->  D-myo-inositol (1,3,4,6)-tetrakisphosphate + ADP + H+ // D-myo-inositol (1,3,4,6)-tetrakisphosphate + ATP  ->  D-myo-inositol 1,3,4,5,6-pentakisphosphate + ADP + H+ // D-myo-inositol 1,3,4,5,6-pentakisphosphate + H2O  ->  D-myo-inositol (3,4,5,6)-tetrakisphosphate + phosphate"	PWY-6365	"D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis"
FeMo cofactor biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"	Molybdenum-Containing Cofactor Biosynthesis	Bacteria <bacteria> // Archaea	Azotobacter vinelandii	a NifEN protein complex carrying an M-cluster + a NifDK protein complex  ->  a NifDK protein carrying an M-cluster + a NifEN protein complex // (2R)-homocitrate + a NifEN protein complex carrying an L-cluster + a NifQ protein with a [Mo-Fe-S] cluster + ATP  ->  a NifEN protein complex carrying an M-cluster + an apo NifQ protein + ADP + phosphate + H2O // 2-oxoglutarate + acetyl-CoA + H2O  <-->  (2R)-homocitrate + coenzyme A + H+ // 2 a [4Fe-4S] iron-sulfur cluster + a NifB protein  ->  a NifB protein carrying two K-clusters // a NifB protein carrying an L-cluster + a NifEN protein complex  ->  a NifEN protein complex carrying an L-cluster + a NifB protein // 2 S-adenosyl-L-methionine + a NifB protein carrying two K-clusters + a sulfurated [sulfur carrier] + an oxidized ferredoxin [iron-sulfur] cluster  ->  a NifB protein carrying an L-cluster + S-adenosyl-L-homocysteine + 5'-deoxyadenosine + L-methionine + an unsulfurated [sulfur carrier] + a reduced ferredoxin [iron-sulfur] cluster + 3 H+	PWY-7710	FeMo cofactor biosynthesis
baicalein degradation (hydrogen peroxide detoxification)	Reactive Oxygen Species Degradation // Aromatic Compound Degradation // Secondary Metabolite Degradation	Phenylpropanoid Derivative Degradation // Reactive Oxygen Species Degradation	Viridiplantae	Scutellaria baicalensis	baicalein peroxidase // baicalin + H2O  ->  baicalein + D-glucopyranuronate	PWY-7214	baicalein degradation (hydrogen peroxide detoxification)
superpathway of salicylate degradation	Superpathways // Aromatic Compound Degradation	Aromatic Compound Degradation // Superpathways	Bacteria <bacteria>	Pseudomonas reinekei	salicylate degradation I // 3-oxoadipate degradation // catechol degradation to &beta;-ketoadipate	PWY-6182	superpathway of salicylate degradation
L-ascorbate degradation IV	Carboxylate Degradation	L-Ascorbate Degradation	Viridiplantae	Vitis vinifera	L-idonate 2-dehydrogenase // L-idonate + NAD+  ->  5-dehydro-D-gluconate + NADH + H+ // L-threo-tetruronate  ->  L-tartrate // 5-dehydro-D-gluconate  ->  L-threo-tetruronate + glycolaldehyde // L-ascorbate + H2O  <-->  2-keto-L-gulonate	PWY-6704	L-ascorbate degradation IV
inositol diphosphates biosynthesis	Secondary Metabolite Biosynthesis	Cyclitol Biosynthesis	Eukaryota	Homo sapiens // Rattus norvegicus // Saccharomyces cerevisiae	"1D-myo-inositol 1-diphosphate 2,3,4,5,6-pentakisphosphate + ATP  ->  1D-myo-inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate + ADP // ATP + phytate  ->  ADP + 1D-myo-inositol 1-diphosphate 2,3,4,5,6-pentakisphosphate // ATP + D-myo-inositol 1,3,4,5,6-pentakisphosphate  ->  ADP + phytate + H+ // D-myo-inositol 1,3,4,5,6-pentakisphosphate + ATP  ->  a diphospho-1D-myo-inositol tetrakisphosphate + ADP // ATP + 1D-myoinositol 5-diphosphate 1,2,3,4,6-pentakisphosphate  ->  ADP + 1D-myo-inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate // phytate + ATP  ->  1D-myoinositol 5-diphosphate 1,2,3,4,6-pentakisphosphate + ADP"	PWY-6369	inositol diphosphates biosynthesis
cytidylyl molybdenum cofactor sulfurylation	"Cofactor, Carrier, and Vitamin Biosynthesis"	Molybdenum-Containing Cofactor Biosynthesis	Bacteria <bacteria> // Archaea	Escherichia coli // Rhodobacter capsulatus	MCD cofactor chaperone + cytidylyl molybdenum cofactor (trioxo)  ->  a [cytidylyl molybdenum cofactor chaperone]-cytidylyl molybdenum cofactor // L-cysteine + a [cytidylyl molybdenum cofactor chaperone]-cytidylyl molybdenum cofactor + a reduced two electron carrier  ->  L-alanine + a [cytidylyl molybdenum cofactor chaperone]-cytidylyl molybdenum cofactor (sulfo-dioxo) + an oxidized electron carrier + H2O	PWY-8165	cytidylyl molybdenum cofactor sulfurylation
methylsalicylate degradation	Metabolic Clusters // Aromatic Compound Degradation // Secondary Metabolite Degradation	Metabolic Clusters // Phenylpropanoid Derivative Degradation	Magnoliopsida	Nicotiana tabacum // Solanum tuberosum	acibenzolar-<i>S</i>-methyl esterase // methylsalicylate + H2O  ->  salicylate + methanol + H+	PWY18C3-24	methylsalicylate degradation
<i>Brucella abortus</i> lipopolysaccharide biosynthesis (final steps)	Glycan Pathways // Carbohydrate Biosynthesis // Cell Structure Biosynthesis	Lipopolysaccharide Biosynthesis (Final Steps)	Brucella/Ochrobactrum group	Brucella abortus	lipopolysaccharide (Brucella abortus)[in] + ATP + H2O  ->  lipopolysaccharide (Brucella abortus)[out] + ADP + phosphate + H+ // O-antigen ligase	PWY2B4Q-9	Brucella abortus lipopolysaccharide biosynthesis (final steps)
2-hydroxybiphenyl degradation	Aromatic Compound Degradation	Aromatic Compound Degradation	Bacteria <bacteria>	Pseudomonas nitroreducens	"2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate  ->  2,6-dioxo-6-phenylhexa-3-enoate // 2,6-dioxo-6-phenylhexa-3-enoate + H2O  ->  (2Z)-2-hydroxypenta-2,4-dienoate + benzoate + H+ // biphenyl-2,3-diol + dioxygen  ->  2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate + H+ // 2-hydroxybiphenyl + NADH + H+ + dioxygen  ->  biphenyl-2,3-diol + NAD+ + H2O"	PWY-7008	2-hydroxybiphenyl degradation
3-hydroxy-4-methyl-anthranilate biosynthesis I	Secondary Metabolite Biosynthesis	3-hydroxy-4-methyl-anthranilate biosynthesis	Streptomycetales	Streptomyces anulatus	3-hydroxy-L-kynurenine  ->  3-hydroxy-D-kynurenine // L-tryptophan + dioxygen  ->  N-formyl-L-kynurenine // N-formyl-L-kynurenine + H2O  ->  L-kynurenine + formate + H+ // L-kynurenine + NADPH + dioxygen + H+  ->  3-hydroxy-L-kynurenine + NADP+ + H2O // 3-hydroxy-4-methyl-D-kynurenine + H2O  ->  3-hydroxy-4-methylanthranilate + L-alanine + H+ // S-adenosyl-L-methionine + 3-hydroxy-D-kynurenine  ->  S-adenosyl-L-homocysteine + 3-hydroxy-4-methyl-D-kynurenine + H+	PWY-7717	3-hydroxy-4-methyl-anthranilate biosynthesis I
molybdenum cofactor biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"	Molybdenum-Containing Cofactor Biosynthesis	Archaea // Bacteria <bacteria> // Eukaryota	Escherichia coli // Homo sapiens // Staphylococcus aureus // Thermus thermophilus // Arabidopsis thaliana	ATP + molybdate[out] + H2O  ->  ADP + molybdate[in] + phosphate + H+ // molybdopterin adenine dinucleotide + molybdate + H+  ->  AMP + MoO2-molybdopterin cofactor + H2O // ATP + molybdopterin + H+  ->  molybdopterin adenine dinucleotide + diphosphate	PWY-8171	molybdenum cofactor biosynthesis
ferulate degradation	Aromatic Compound Degradation // Secondary Metabolite Degradation	Phenylpropanoid Derivative Degradation	Bacteria <bacteria>	Amycolatopsis sp. ATCC 39116 // Amycolatopsis sp. HR167 // Pseudomonas sp. HR199 // Sphingomonas sp. SYK6 // Streptomyces griseus // Pseudomonas fluorescens AN103 // Streptomyces sp. strain V-1	feruloyl-CoA + H2O  ->  3-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propanoyl-CoA // 3-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propanoyl-CoA  ->  acetyl-CoA + vanillin // ferulate + ATP + coenzyme A  ->  feruloyl-CoA + AMP + diphosphate	PWY-6343	ferulate degradation
chlorpyrifos degradation	Aromatic Compound Degradation	Aromatic Compound Degradation	Fungi // Bacteria <bacteria>	Bacillus cereus // Bacillus licheniformis // Bacillus pumilus // Cupriavidus nantongensis // Cupriavidus sp. DT-1 // Levilactobacillus brevis // Ochrobactrum sp. JAS2 // Paracoccus sp. TRP // Pseudomonas aeruginosa // Stenotrophomonas sp. G1 // Streptomyces sp. AC7 // Hypocreales sp. DSP	"diethylthiophosphate + H2O  ->  diethylphosphate + hydrogen sulfide // chlorpyrifos + H2O  ->  3,5,6-trichloropyridine-2-ol + diethylthiophosphate + H+"	PWY-8065	chlorpyrifos degradation
"L-ascorbate degradation II (bacterial, aerobic)"	Carboxylate Degradation	L-Ascorbate Degradation	Bacteria <bacteria>	Escherichia coli // Klebsiella pneumoniae	"dehydroascorbate + H2O  ->  2,3-didehydro-L-gulonate // L-ribulose 5-phosphate  <-->  D-xylulose 5-phosphate // L-ribulose 5-phosphate  <-  L-xylulose 5-phosphate // 3-dehydro-L-gulonate 6-phosphate + H+  ->  L-xylulose 5-phosphate + CO2 // 3-dehydro-L-gulonate + NAD+  <-  2,3-didehydro-L-gulonate + NADH + H+ // 3-dehydro-L-gulonate + ATP  ->  3-dehydro-L-gulonate 6-phosphate + ADP + H+ // 2 L-ascorbate + hydrogen peroxide  ->  L-ascorbate + dehydroascorbate + 2 H2O"	PWY-6961	"L-ascorbate degradation II (bacterial, aerobic)"
3-hydroxy-4-methyl-anthranilate biosynthesis II	Secondary Metabolite Biosynthesis	3-hydroxy-4-methyl-anthranilate biosynthesis	Bacteria <bacteria>	Streptosporangium sibiricum	3-hydroxy-4-methyl-L-kynurenine + H2O  ->  3-hydroxy-4-methylanthranilate + L-alanine + H+ // S-adenosyl-L-methionine + 3-hydroxy-L-kynurenine  ->  S-adenosyl-L-homocysteine + 3-hydroxy-4-methyl-L-kynurenine + H+ // L-tryptophan + dioxygen  ->  N-formyl-L-kynurenine // N-formyl-L-kynurenine + H2O  ->  L-kynurenine + formate + H+ // L-kynurenine + NADPH + dioxygen + H+  ->  3-hydroxy-L-kynurenine + NADP+ + H2O	PWY-7765	3-hydroxy-4-methyl-anthranilate biosynthesis II
guanylyl molybdenum cofactor biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"	Molybdenum-Containing Cofactor Biosynthesis	Bacteria <bacteria>	Escherichia coli	GTP + MoO2-molybdopterin cofactor + H+  ->  guanylyl molybdenum cofactor + diphosphate	PWY-5964	guanylyl molybdenum cofactor biosynthesis
furcatin degradation	Aromatic Compound Degradation // Secondary Metabolite Degradation	Phenylpropanoid Derivative Degradation	Spermatophyta	Viburnum furcatum	furcatin + H2O  ->  chavicol + beta-D-apiofuranosyl-(1->6)-D-glucose	PWY-7113	furcatin degradation
<i>Salmonella typhimurium</i> LT2 lipopolysaccharide biosynthesis (final steps)	Glycan Pathways // Carbohydrate Biosynthesis // Cell Structure Biosynthesis	Lipopolysaccharide Biosynthesis (Final Steps)	Salmonella	Salmonella enterica	lipopolysaccharide (Salmonella LT2)[in] + ATP + H2O  ->  lipopolysaccharide (Salmonella LT2)[out] + ADP + phosphate + H+ // O-antigen ligase	PWY-8423	Salmonella typhimurium LT2 lipopolysaccharide biosynthesis (final steps)
aldoxime degradation	Aromatic Compound Degradation	Aromatic Compound Degradation	Fungi // Bacteria <bacteria>	Bacillus sp. OxB-1 // Rhodococcus rhodochrous // Rhodococcus sp. N-771 // Pseudomonas chlororaphis // Rhodococcus YH3-3	nicotinamide + H2O  ->  ammonium + nicotinate // nicotinamide  <-  3-cyanopyridine + H2O // E-pyridine-3-aldoxime  ->  3-cyanopyridine + H2O	P345-PWY	aldoxime degradation
geranylgeranyl diphosphate biosynthesis	Polyprenyl Biosynthesis	Geranylgeranyl Diphosphate Biosynthesis	Eukaryota // Bacteria <bacteria> // Archaea	Bacillus subtilis // Capsicum annuum // Homo sapiens // Methanothermobacter marburgensis // Micrococcus luteus // Pantoea agglomerans // Rhodobacter capsulatus // Saccharomyces cerevisiae // Micrococcus luteus	"(2E,6E)-farnesyl diphosphate + 3-methylbut-3-en-1-yl diphosphate  ->  geranylgeranyl diphosphate + diphosphate"	PWY-5120	geranylgeranyl diphosphate biosynthesis
bis(guanylyl molybdenum cofactor) biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"	Molybdenum-Containing Cofactor Biosynthesis	Bacteria <bacteria>	Escherichia coli	MoO2-molybdopterin cofactor + molybdopterin + H+  ->  bis(molybdenum cofactor) + H2O // 2 GTP + bis(molybdenum cofactor) + 2 H+  ->  bis(guanylyl molybdopterin) cofactor + 2 diphosphate	PWY-7639	bis(guanylyl molybdenum cofactor) biosynthesis
<i>trans</i>-caffeate degradation (aerobic)	Aromatic Compound Degradation // Secondary Metabolite Degradation	Phenylpropanoid Derivative Degradation	Bacteria <bacteria>	Rhodopseudomonas palustris // Sphingomonas sp. SYK6	"trans-caffeate + ATP + coenzyme A  ->  (E)-caffeoyl-CoA + AMP + diphosphate // (E)-caffeoyl-CoA + H2O  ->  3-(3,4-dihydroxyphenyl)-3-hydroxypropanoate // 3-(3,4-dihydroxyphenyl)-3-hydroxypropanoate  ->  3,4-dihydroxybenzaldehyde + acetyl-CoA // 3,4-dihydroxybenzaldehyde + NAD(P)+ + H2O  ->  protocatechuate + NAD(P)H + 2 H+"	PWY-8003	trans-caffeate degradation (aerobic)
2-aminophenol degradation	Aromatic Compound Degradation	Aromatic Compound Degradation	Bacteria <bacteria>	Pseudomonas oleovorans // Pseudomonas sp. AP3 // Pseudomonas putida	"(2Z,4E)-2-aminomuconate + H2O  ->  (3E)-2-oxohex-3-enedioate + ammonium // (3E)-2-oxohex-3-enedioate + H+  ->  (2Z)-2-hydroxypenta-2,4-dienoate + CO2 // 2-aminophenol + dioxygen  ->  (2Z,4E)-2-amino-6-oxohexa-2,4-dienoate // (2Z,4E)-2-amino-6-oxohexa-2,4-dienoate + NAD+ + H2O  ->  (2Z,4E)-2-aminomuconate + NADH + 2 H+"	PWY-6210	2-aminophenol degradation
adenine and adenosine salvage I	Nucleoside and Nucleotide Biosynthesis	Adenine and Adenosine Salvage	Opisthokonta // Bacteria <bacteria> // Archaea	Halobacterium salinarum // Homo sapiens // Mycoplasma pneumoniae	AMP + diphosphate  <-  adenine + 5-phospho-alpha-D-ribose 1-diphosphate // adenosine + phosphate  <-->  adenine + alpha-D-ribose-1-phosphate	P121-PWY	adenine and adenosine salvage I
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	Superpathways // Secondary Metabolite Biosynthesis // Polyprenyl Biosynthesis	Diterpenoid Biosynthesis // Geranylgeranyl Diphosphate Biosynthesis // Superpathways	Eukaryota // Bacteria <bacteria>	Homo sapiens // Saccharomyces cerevisiae // Arabidopsis thaliana	"geranylgeranyl diphosphate biosynthesis // <i>trans, trans</i>-farnesyl diphosphate biosynthesis // mevalonate pathway I (eukaryotes and bacteria)"	PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation	"Cofactor, Carrier, and Vitamin Biosynthesis"	Molybdenum-Containing Cofactor Biosynthesis	Bacteria <bacteria> // Archaea	Escherichia coli	L-cysteine + a [bis(guanylyl molybdopterin) cofactor chaperone]-L-cysteine  ->  L-alanine + a [bis(guanylyl molybdopterin) cofactor chaperone]-S-sulfanyl-L-cysteine // bis-MGD cofactor chaperone + bis(guanylyl molybdopterin) cofactor  ->  [bis-MGD cofactor chaperone]-bis-MGD // [bis-MGD cofactor chaperone]-bis-MGD + a [bis(guanylyl molybdopterin) cofactor chaperone]-S-sulfanyl-L-cysteine + a reduced two electron carrier  ->  a [bis(guanylyl molybdopterin) cofactor chaperone]-L-cysteine + sulfo-bis(guanylyl molybdopterin) cofactor + an oxidized electron carrier + H2O	PWY-8164	bis(guanylyl molybdopterin) cofactor sulfurylation
coumarin metabolism (to melilotic acid)	Aromatic Compound Degradation // Secondary Metabolite Degradation // Secondary Metabolite Biosynthesis	Coumarins Biosynthesis // Phenylpropanoid Derivative Degradation	Magnoliopsida	Melilotus albus	"3,4-dihydrocoumarin + H2O  ->  melilotate + H+ // coumarin + NADPH + H+  ->  3,4-dihydrocoumarin + NADP+"	PWY-5319	coumarin metabolism (to melilotic acid)
<i>Porphyromonas gingivalis</i> lipopolysaccharide (O-LPS) biosynthesis (final steps)	Glycan Pathways // Carbohydrate Biosynthesis // Cell Structure Biosynthesis	Lipopolysaccharide Biosynthesis (Final Steps)	Porphyromonas	Porphyromonas gingivalis	O-lipopolysaccharide (P. gingivalis)[in] + ATP + H2O  ->  O-lipopolysaccharide (P. gingivalis)[out] + ADP + phosphate + H+ // O-antigen ligase	PWY-8422	Porphyromonas gingivalis lipopolysaccharide (O-LPS) biosynthesis (final steps)
2-isopropylphenol degradation	Aromatic Compound Degradation	Aromatic Compound Degradation	Bacteria <bacteria>	Pseudomonas nitroreducens	"2-hydroxy-7-methyl-6-oxo-2,4-octadienoate + H2O  ->  (2Z)-2-hydroxypenta-2,4-dienoate + isobutanoate + H+ // 3-isopropylcatechol + dioxygen  ->  2-hydroxy-7-methyl-6-oxo-2,4-octadienoate + H+ // 2-isopropylphenol-3-monooxygenase"	PWY-7011	2-isopropylphenol degradation
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	Superpathways // Secondary Metabolite Biosynthesis // Polyprenyl Biosynthesis	Diterpenoid Biosynthesis // Geranylgeranyl Diphosphate Biosynthesis // Superpathways	Bacteria <bacteria> // Viridiplantae	Capsicum annuum // Chlamydomonas reinhardtii // Escherichia coli // Hevea brasiliensis // Arabidopsis thaliana	"geranylgeranyl diphosphate biosynthesis // <i>trans, trans</i>-farnesyl diphosphate biosynthesis // methylerythritol phosphate pathway I"	PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)
<i>bis</i>(guanylyl tungstenpterin) cofactor biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"	Molybdenum-Containing Cofactor Biosynthesis	Archaea // Bacteria <bacteria>	Pyrococcus abyssi // Pyrococcus furiosus	2 GTP + bis(tungstenpterin) cofactor + 2 H+  ->  bis(guanylyl tungstenpterin) cofactor + 2 diphosphate	PWY-8168	bis(guanylyl tungstenpterin) cofactor biosynthesis
4-coumarate degradation (anaerobic)	Aromatic Compound Degradation // Secondary Metabolite Degradation	Phenylpropanoid Derivative Degradation	Bacteria <bacteria>	Rhodopseudomonas palustris	benzoyl-CoA + an oxidized 2[4Fe-4s] ferredoxin + H2O  <-  4-hydroxybenzoyl-CoA + a reduced 2[4Fe-4s] ferredoxin + 2 H+ // 4-hydroxybenzoate + ATP + coenzyme A  ->  4-hydroxybenzoyl-CoA + AMP + diphosphate // 4-hydroxybenzaldehyde dehydrogenase // 3-(4-hydroxyphenyl)-3-hydroxy-propionyl-CoA aldolase // (E)-4-coumaroyl-CoA + H2O  ->  3S-(4-hydroxyphenyl)-3-hydroxy-propanoyl-CoA // 4-coumarate + ATP + coenzyme A  ->  (E)-4-coumaroyl-CoA + AMP + diphosphate	PWY-7046	4-coumarate degradation (anaerobic)
methoxylated aromatic compound degradation II	Aromatic Compound Degradation	Aromatic Compound Degradation	Archaea	Archaeoglobus fulgidus	"an oxidized factor 420 + 5,10-methylene-tetrahydromethanopterin + H+  <-->  a reduced factor 420 + 5,10-methenyltetrahydromethanopterin // a formylmethanofuran + tetrahydromethanopterin + H+  <-->  a methanofuran + 5-formyl-tetrahydromethanopterin // 2 an oxidized ferredoxin [iron-sulfur] cluster + a formylmethanofuran + H2O  <-->  2 a reduced ferredoxin [iron-sulfur] cluster + a methanofuran + CO2 + H+ // 5,10-methenyltetrahydromethanopterin + H2O  ->  5-formyl-tetrahydromethanopterin + H+ // an oxidized factor 420 + N5-methyltetrahydromethanopterin  <-->  a reduced factor 420 + 5,10-methylene-tetrahydromethanopterin // acetate + ATP + coenzyme A  <-->  acetyl-CoA + ADP + phosphate // acetyl-CoA + 2 an oxidized ferredoxin [iron-sulfur] cluster + tetrahydromethanopterin + H2O  <-->  CO2 + 2 a reduced ferredoxin [iron-sulfur] cluster + N5-methyltetrahydromethanopterin + coenzyme A + 2 H+ // a [methyl-Co(III) methoxylated-aromatic-compound-specific corrinoid protein] + tetrahydromethanopterin  ->  a [Co(I) methoxylated-aromatic-compound-specific corrinoid protein] + N5-methyltetrahydromethanopterin + H+ // a methoxylated aromatic compound + a [Co(I) methoxylated-aromatic-compound-specific corrinoid protein] + H+  ->  a phenol + a [methyl-Co(III) methoxylated-aromatic-compound-specific corrinoid protein]"	PWY-8305	methoxylated aromatic compound degradation II
adenine salvage	Nucleoside and Nucleotide Biosynthesis	Adenine and Adenosine Salvage	Euglenozoa // Fungi // Archaea // Bacteria <bacteria>	Schizosaccharomyces pombe // Saccharomyces cerevisiae // Cyberlindnera jadinii // Leishmania tropica species complex // Leishmania tarentolae // Leishmania mexicana species complex // Leishmania donovani species complex // Leishmania braziliensis // Crithidia fasciculata // Bacillus subtilis // Bacillus subtilis // Azotobacter vinelandii	AMP + diphosphate  <-  adenine + 5-phospho-alpha-D-ribose 1-diphosphate // adenine + H+ + H2O  ->  ammonium + hypoxanthine // IMP + diphosphate  <-  hypoxanthine + 5-phospho-alpha-D-ribose 1-diphosphate	PWY-6610	adenine salvage
molybdenum cofactor sulfulylation (eukaryotes)	"Cofactor, Carrier, and Vitamin Biosynthesis"	Molybdenum-Containing Cofactor Biosynthesis	Bacteria <bacteria> // Archaea // Eukaryota	Arabidopsis thaliana	L-cysteine + MoO3-molybdopterin cofactor + a reduced two electron carrier  ->  L-alanine + Mo(O)2(S)-molybdopterin cofactor + an oxidized electron carrier + H2O	PWY-5963	molybdenum cofactor sulfulylation (eukaryotes)
4-coumarate degradation (aerobic)	Aromatic Compound Degradation // Secondary Metabolite Degradation	Phenylpropanoid Derivative Degradation	Bacteria <bacteria>	Rhodopseudomonas palustris // Sphingomonas sp. SYK6	4-hydroxybenzoate + NADPH + dioxygen + H+  ->  protocatechuate + NADP+ + H2O // 4-hydroxybenzaldehyde dehydrogenase // 3-(4-hydroxyphenyl)-3-hydroxy-propionyl-CoA aldolase // (E)-4-coumaroyl-CoA + H2O  ->  3S-(4-hydroxyphenyl)-3-hydroxy-propanoyl-CoA // 4-coumarate + ATP + coenzyme A  ->  (E)-4-coumaroyl-CoA + AMP + diphosphate	PWY-8002	4-coumarate degradation (aerobic)
glycolysis III (from glucose)	Generation of Precursor Metabolites and Energy	Glycolysis	Eukaryota // Bacteria <bacteria>	Homo sapiens // Saccharomyces cerevisiae // Saccharomyces cerevisiae // Thermotoga maritima	"2-phospho-D-glycerate  <-->  3-phospho-D-glycerate // D-glucopyranose + ATP  ->  D-glucopyranose 6-phosphate + ADP + H+ // alpha-D-glucose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate // 2-phospho-D-glycerate  <-->  3-phospho-D-glycerate // pyruvate + ATP  <-  phosphoenolpyruvate + ADP + H+ // 2-phospho-D-glycerate  <-->  phosphoenolpyruvate + H2O // 3-phospho-D-glycerate + ATP  <-->  3-phospho-D-glyceroyl phosphate + ADP // D-glyceraldehyde 3-phosphate + NAD+ + phosphate  <-->  3-phospho-D-glyceroyl phosphate + NADH + H+ // D-glyceraldehyde 3-phosphate  <-->  glycerone phosphate // beta-D-fructofuranose 1,6-bisphosphate  <-->  glycerone phosphate + D-glyceraldehyde 3-phosphate // ATP + beta-D-fructofuranose 6-phosphate  ->  ADP + beta-D-fructofuranose 1,6-bisphosphate + H+"	ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)
parathion degradation	Aromatic Compound Degradation	Aromatic Compound Degradation	Bacteria <bacteria>	Levilactobacillus brevis // Brevundimonas diminuta // Sphingobium fuliginis	diethylthiophosphate + H2O  ->  diethylphosphate + hydrogen sulfide // parathion + H2O  ->  diethylthiophosphate + 4-nitrophenol + 2 H+	PARATHION-DEGRADATION-PWY	parathion degradation
molybdopterin biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"	Molybdenum-Containing Cofactor Biosynthesis	Archaea // Bacteria <bacteria> // Eukaryota	Escherichia coli // Homo sapiens // Staphylococcus aureus // Thermus thermophilus // Arabidopsis thaliana	"L-cysteine + a [molybdopterin synthase sulfurtransferase]-L-cysteine  ->  L-alanine + a [molybdopterin synthase sulfurtransferase]-S-sulfanyl-L-cysteine // (8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate  ->  cyclic pyranopterin phosphate + diphosphate // a carboxy-adenylated [small subunit of molybdopterin synthase] + a [molybdopterin synthase sulfurtransferase]-S-sulfanyl-L-cysteine + a reduced two electron carrier  ->  a thiocarboxylated [small subunit of molybdopterin synthase] + a [molybdopterin synthase sulfurtransferase]-L-cysteine + AMP + an oxidized electron carrier + H+ // a small subunit of molybdopterin synthase + ATP + H+  ->  a carboxy-adenylated [small subunit of molybdopterin synthase] + diphosphate // cyclic pyranopterin phosphate + 2 a thiocarboxylated [small subunit of molybdopterin synthase] + H2O  ->  2 a small subunit of molybdopterin synthase + molybdopterin + 4 H+ // S-adenosyl-L-methionine + GTP + a reduced two electron carrier  ->  (8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate + L-methionine + 5'-deoxyadenosine + an oxidized electron carrier + H+"	PWY-6823	molybdopterin biosynthesis
diphenylamine degradation	Aromatic Compound Degradation	Aromatic Compound Degradation	Bacteria <bacteria>	Ralstonia sp. JS668 // Burkholderia sp. JS667	diphenylamine + NADH + dioxygen + H+  ->  aniline + catechol + NAD+	PWY-6532	diphenylamine degradation
adenine and adenosine salvage III	Nucleoside and Nucleotide Biosynthesis	Adenine and Adenosine Salvage	Archaea // Eukaryota // Bacteria <bacteria>	Escherichia coli // Halobacterium salinarum // Homo sapiens // Mycoplasma pneumoniae	IMP + diphosphate  <-  hypoxanthine + 5-phospho-alpha-D-ribose 1-diphosphate // adenosine + H2O + H+  ->  inosine + ammonium // adenosine + phosphate  <-->  adenine + alpha-D-ribose-1-phosphate // inosine + phosphate  <-->  hypoxanthine + alpha-D-ribose-1-phosphate	PWY-6609	adenine and adenosine salvage III
cytidylyl copper-molybdenum cofactor biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"	Molybdenum-Containing Cofactor Biosynthesis	Bacteria <bacteria>	Afipia carboxidovorans	CoxE-[CoxF-Cu2+] + an electron-transfer quinol  ->  CoxE-[CoxF-Cu+] + an electron-transfer quinone // sulfur(0) + ATP + cytidylyl molybdenum cofactor (trioxo) + an electron-transfer quinol  ->  ADP + cytidylyl molybdenum cofactor (sulfo-dioxo) + an electron-transfer quinone + phosphate // a CoxE protein + [CoxF]-bound-Cu2+  ->  CoxE-[CoxF-Cu2+] // CoxE-[CoxF-Cu+] + an [aerobic carbon monoxide dehydrogenase]-L-cysteine + cytidylyl molybdenum cofactor (sulfo-dioxo)  ->  a CoxE protein + a CoxF protein + cytidylyl copper-molybdenum cofactor // CuII-phytate + a CoxF protein + H2O  ->  [CoxF]-bound-Cu2+ + a D myo-inositol penta kis phosphate + phosphate // phytate + Cu2+  ->  CuII-phytate	PWY-8163	cytidylyl copper-molybdenum cofactor biosynthesis
