"","X1","X2"
"955","PWY-5470","palmatine biosynthesis"
"956","PWY-5472","bisbenzylisoquinoline alkaloid biosynthesis"
"957","PWY-5473","hydroxycinnamic acid serotonin amides biosynthesis"
"958","PWY-5474","hydroxycinnamic acid tyramine amides biosynthesis"
"959","PWY-5475","pentagalloylglucose biosynthesis"
"960","PWY-5476","cornusiin E biosynthesis"
"961","PWY-5477","gallotannin biosynthesis"
"962","PWY-5478","superpathway of hydrolyzable tannin biosynthesis"
"963","PWY-5479","podophyllotoxin and 6-methoxypodophyllotoxin biosynthesis"
"964","PWY-5480","pyruvate fermentation to ethanol I"
"965","PWY-5481","pyruvate fermentation to lactate"
"966","PWY-5482","pyruvate fermentation to acetate II"
"967","PWY-5483","pyruvate fermentation to acetate III"
"968","PWY-5484","glycolysis II (from fructose 6-phosphate)"
"969","PWY-5485","pyruvate fermentation to acetate IV"
"970","PWY-5486","pyruvate fermentation to ethanol II"
"971","PWY-5487","4-nitrophenol degradation I"
"972","PWY-5488","4-nitrophenol degradation II"
"973","PWY-5489","methyl parathion degradation"
"974","PWY-5490","paraoxon degradation"
"975","PWY-5491","diethylphosphate degradation"
"976","PWY-5493","reductive monocarboxylic acid cycle"
"977","PWY-5494","pyruvate fermentation to propanoate II (acrylate pathway)"
"978","PWY-5497","purine nucleobases degradation II (anaerobic)"
"979","PWY-5499","vitamin B6 degradation"
"980","PWY-5505","L-glutamate and L-glutamine biosynthesis"
"981","PWY-5506","methanol oxidation to formaldehyde IV"
"982","PWY-5507","adenosylcobalamin biosynthesis I (early cobalt insertion)"
"983","PWY-5509","adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I"
"984","PWY-5512","UDP-N-acetyl-D-galactosamine biosynthesis I"
"985","PWY-5514","UDP-N-acetyl-D-galactosamine biosynthesis II"
"986","PWY-5515","L-arabinose degradation II"
"987","PWY-5516","xylose degradation II"
"988","PWY-5517","L-arabinose degradation III"
"989","PWY-5519","D-arabinose degradation III"
"990","PWY-5521","L-ascorbate biosynthesis III"
"991","PWY-5523","5,6-dimethylbenzimidazole biosynthesis"
"992","PWY-5525","D-glucuronate degradation I"
"993","PWY-5526","bacteriochlorophyll a biosynthesis"
"994","PWY-5529","superpathway of bacteriochlorophyll a biosynthesis"
"995","PWY-5530","sorbitol biosynthesis II"
"996","PWY-5531","chlorophyllide a biosynthesis II (anaerobic)"
"997","PWY-5532","adenosine nucleotides degradation IV"
"998","PWY-5533","acetone degradation II (to acetoacetate)"
"999","PWY-5534","propylene degradation"
"1000","PWY-5535","acetate formation from acetyl-CoA II"
"1001","PWY-5536","acetate formation from acetyl-CoA III (succinate)"
"1002","PWY-5537","pyruvate fermentation to acetate V"
"1003","PWY-5538","pyruvate fermentation to acetate VI"
"1004","PWY-5600","pyruvate fermentation to acetate VII"
"1005","PWY-561","superpathway of glyoxylate cycle and fatty acid degradation"
"1006","PWY-5629","isopenicillin N biosynthesis"
"1007","PWY-5630","penicillin K biosynthesis"
"1008","PWY-5631","deacetylcephalosporin C biosynthesis"
"1009","PWY-5632","cephalosporin C biosynthesis"
"1010","PWY-5633","cephamycin C biosynthesis"
"1011","PWY-5634","superpathway of penicillin, cephalosporin and cephamycin biosynthesis"
"1012","PWY-5636","2-nitrophenol degradation"
"1013","PWY-5637","nitrobenzene degradation I"
"1014","PWY-5640","nitrobenzene degradation II"
"1015","PWY-5641","2-nitrotoluene degradation"
"1016","PWY-5642","2,4-dinitrotoluene degradation"
"1017","PWY-5643","2,6-dinitrotoluene degradation"
"1018","PWY-5644","4-nitrotoluene degradation II"
"1019","PWY-5645","4-chloronitrobenzene degradation"
"1020","PWY-5647","2-nitrobenzoate degradation I"
"1021","PWY-5648","2-nitrobenzoate degradation II"
"1022","PWY-5651","L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde"
"1023","PWY-5652","2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA"
"1024","PWY-5653","NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde"
"1025","PWY-5654","2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate"
"1026","PWY-5655","L-tryptophan degradation IX"
"1027","PWY-5656","mannosylglycerate biosynthesis I"
"1028","PWY-5658","mannosylglycerate biosynthesis II"
"1029","PWY-5659","GDP-mannose biosynthesis"
"1030","PWY-5660","taxol biosynthesis"
"1031","PWY-5661","GDP-glucose biosynthesis"
"1032","PWY-5662","glucosylglycerate biosynthesis I"
"1033","PWY-5663","tetrahydrobiopterin biosynthesis I"
"1034","PWY-5664","tetrahydrobiopterin biosynthesis II"
"1035","PWY-5665","vanillin biosynthesis I"
"1036","PWY-5666","steroidal glycoalkaloid biosynthesis"
"1037","PWY-5667","CDP-diacylglycerol biosynthesis I"
"1038","PWY-5668","cardiolipin biosynthesis I"
"1039","PWY-5669","phosphatidylethanolamine biosynthesis I"
"1040","PWY-5670","epoxysqualene biosynthesis"
"1041","PWY-5672","ginsenosides biosynthesis"
"1042","PWY-5674","nitrate reduction IV (dissimilatory)"
"1043","PWY-5675","nitrate reduction V (assimilatory)"
"1044","PWY-5676","acetyl-CoA fermentation to butanoate II"
"1045","PWY-5677","succinate fermentation to butanoate"
"1046","PWY-5679","clavulanate biosynthesis"
"1047","PWY-5686","UMP biosynthesis"
"1048","PWY-5690","TCA cycle II (plants and fungi)"
"1049","PWY-5691","urate degradation to allantoin I"
"1050","PWY-5692","allantoin degradation to glyoxylate II"
"1051","PWY-5694","allantoin degradation to glyoxylate I"
"1052","PWY-5695","urate biosynthesis/inosine 5'-phosphate degradation"
"1053","PWY-5697","allantoin degradation to ureidoglycolate I (urea producing)"
"1054","PWY-5698","allantoin degradation to ureidoglycolate II (ammonia producing)"
"1055","PWY-5701","shikonin biosynthesis"
"1056","PWY-5703","urea degradation I"
"1057","PWY-5704","urea degradation II"
"1058","PWY-5705","allantoin degradation to glyoxylate III"
"1059","PWY-5706","alliin metabolism"
"1060","PWY-5707","propanethial S-oxide biosynthesis"
"1061","PWY-5708","ethiin metabolism"
"1062","PWY-5710","capsaicin biosynthesis"
"1063","PWY-5717","superpathway of formononetin derivative biosynthesis"
"1064","PWY-5723","Rubisco shunt"
"1065","PWY-5724","superpathway of atrazine degradation"
"1066","PWY-5725","farnesene biosynthesis"
"1067","PWY-5726","deethylsimazine degradation"
"1068","PWY-5727","atrazine degradation II"
"1069","PWY-5729","vestitol and sativan biosynthesis"
"1070","PWY-5731","atrazine degradation III"
"1071","PWY-5733","germacrene biosynthesis"
"1072","PWY-5736","isopropylamine degradation"
"1073","PWY-5737","(5R)-carbapenem carboxylate biosynthesis"
"1074","PWY-5738","GDP-6-deoxy-D-talose biosynthesis"
"1075","PWY-5739","GDP-D-perosamine biosynthesis"
"1076","PWY-5740","GDP-L-colitose biosynthesis"
"1077","PWY-5741","ethylmalonyl-CoA pathway"
"1078","PWY-5742","L-arginine degradation IX (arginine:pyruvate transaminase pathway)"
"1079","PWY-5743","3-hydroxypropanoate cycle"
"1080","PWY-5744","glyoxylate assimilation"
"1081","PWY-5747","2-methylcitrate cycle II"
"1082","PWY-5748","&gamma;-coniciene and coniine biosynthesis"
"1083","PWY-5749","itaconate degradation"
"1084","PWY-5750","itaconate biosynthesis"
"1085","PWY-5751","phenylethanol biosynthesis"
"1086","PWY-5752","piperine biosynthesis"
"1087","PWY-5754","4-hydroxybenzoate biosynthesis I (eukaryotes)"
"1088","PWY-5755","4-hydroxybenzoate biosynthesis II (microbes)"
"1089","PWY-5756","saponin biosynthesis II"
"1090","PWY-5757","fosfomycin biosynthesis"
"1091","PWY-5759","saponin biosynthesis III"
"1092","PWY-5760","&beta;-alanine biosynthesis IV"
"1093","PWY-5765","1,3,5-trimethoxybenzene biosynthesis"
"1094","PWY-5766","L-glutamate degradation X"
"1095","PWY-5768","pyruvate fermentation to acetate VIII"
"1096","PWY-5770","phenazine-1-carboxylate biosynthesis"
"1097","PWY-5773","gossypol biosynthesis"
"1098","PWY-5774","saponin biosynthesis IV"
"1099","PWY-5775","rotenoid biosynthesis I"
"1100","PWY-5776","2-hydroxyphenazine biosynthesis"
"1101","PWY-5780","hypericin biosynthesis"
"1102","PWY-5782","2-keto-L-gulonate biosynthesis"
"1103","PWY-5783","octaprenyl diphosphate biosynthesis"
"1104","PWY-5784","indole-3-acetate conjugate biosynthesis II"
"1105","PWY-5785","di-trans,poly-cis-undecaprenyl phosphate biosynthesis"
"1106","PWY-5787","oligomeric urushiol biosynthesis"
"1107","PWY-5788","indole-3-acetate degradation V"
"1108","PWY-5789","3-hydroxypropanoate/4-hydroxybutanate cycle"
"1109","PWY-5793","maysin biosynthesis"
"1110","PWY-5794","malonate degradation I (biotin-independent)"
"1111","PWY-5795","juglone biosynthesis"
"1112","PWY-5796","malonate decarboxylase activation"
"1113","PWY-5797","indole-3-acetate degradation VI"
"1114","PWY-5800","xylan biosynthesis"
"1115","PWY-5801","lawsone biosynthesis"
"1116","PWY-5802","alizarin biosynthesis"
"1117","PWY-5805","nonaprenyl diphosphate biosynthesis I"
"1118","PWY-5806","all-trans-decaprenyl diphosphate biosynthesis"
"1119","PWY-5807","heptaprenyl diphosphate biosynthesis"
"1120","PWY-5808","hyperforin and adhyperforin biosynthesis"
"1121","PWY-5811","indole-3-acetate degradation VII"
"1122","PWY-5813","bornyl diphosphate biosynthesis"
"1123","PWY-5815","rubber biosynthesis"
"1124","PWY-5816","all trans undecaprenyl diphosphate biosynthesis"
"1125","PWY-5817","dodecaprenyl diphosphate biosynthesis"
"1126","PWY-5818","validamycin A biosynthesis"
"1127","PWY-581","indole-3-acetate biosynthesis II"
"1128","PWY-5821","dalcochinin biosynthesis"
"1129","PWY-5822","trichloroethylene degradation"
"1130","PWY-5823","superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis"
"1131","PWY-5825","dalpatein and dalnigrein biosynthesis"
"1132","PWY-5826","hypoglycin biosynthesis"
"1133","PWY-5827","heliocides biosynthesis"
"1134","PWY-5828","lacinilene C biosynthesis"
"1135","PWY-5829","geraniol and geranial biosynthesis"
"1136","PWY-5830","CDP-ascarylose biosynthesis"
"1137","PWY-5831","CDP-abequose biosynthesis"
"1138","PWY-5832","CDP-paratose biosynthesis"
"1139","PWY-5833","CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis"
"1140","PWY-5834","CDP-tyvelose biosynthesis"
"1141","PWY-5835","geranyl acetate biosynthesis"
"1142","PWY-5837","1,4-dihydroxy-2-naphthoate biosynthesis I"
"1143","PWY-5838","superpathway of menaquinol-8 biosynthesis I"
"1144","PWY-5839","menaquinol-7 biosynthesis"
"1145","PWY-5840","superpathway of menaquinol-7 biosynthesis"
"1146","PWY-5843","cocaine biosynthesis"
"1147","PWY-5844","menaquinol-9 biosynthesis"
"1148","PWY-5845","superpathway of menaquinol-9 biosynthesis"
"1149","PWY-5846","colchicine biosynthesis"
"1150","PWY-5848","cinchona alkaloids biosynthesis"
"1151","PWY-5849","menaquinol-6 biosynthesis"
"1152","PWY-5850","superpathway of menaquinol-6 biosynthesis I"
"1153","PWY-5851","demethylmenaquinol-9 biosynthesis"
"1154","PWY-5852","demethylmenaquinol-8 biosynthesis I"
"1155","PWY-5853","demethylmenaquinol-6 biosynthesis I"
"1156","PWY-5855","ubiquinol-7 biosynthesis (prokaryotic)"
"1157","PWY-5856","ubiquinol-9 biosynthesis (prokaryotic)"
"1158","PWY-5857","ubiquinol-10 biosynthesis (prokaryotic)"
"1159","PWY-5859","eugenol and isoeugenol biosynthesis"
"1160","PWY-5860","superpathway of demethylmenaquinol-6 biosynthesis I"
"1161","PWY-5861","superpathway of demethylmenaquinol-8 biosynthesis"
"1162","PWY-5862","superpathway of demethylmenaquinol-9 biosynthesis"
"1163","PWY-5863","superpathway of phylloquinol biosynthesis"
"1164","PWY-5864","superpathway of plastoquinol biosynthesis"
"1165","PWY-5867","t-anethole biosynthesis"
"1166","PWY-5870","ubiquinol-8 biosynthesis (eukaryotic)"
"1167","PWY-5871","ubiquinol-9 biosynthesis (eukaryotic)"
"1168","PWY-5872","ubiquinol-10 biosynthesis (eukaryotic)"
"1169","PWY-5873","ubiquinol-7 biosynthesis (eukaryotic)"
"1170","PWY-5874","heme degradation"
"1171","PWY-5875","staphyloxanthin biosynthesis"
"1172","PWY-5876","magnoflorine biosynthesis"
"1173","PWY-5877","beta-carboline biosynthesis"
"1174","PWY-5882","epoxypseudoisoeugenol-2-methylbutanoate biosynthesis"
"1175","PWY-5883","ephedrine biosynthesis"
"1176","PWY-5884","wax esters biosynthesis I"
"1177","PWY-5885","wax esters biosynthesis II"
"1178","PWY-5886","4-hydroxyphenylpyruvate biosynthesis"
"1179","PWY-5887","albaflavenone biosynthesis"
"1180","PWY-5888","rhodoquinone-10 biosynthesis"
"1181","PWY-5889","rhodoquinone-9 biosynthesis"
"1182","PWY-5890","menaquinol-10 biosynthesis"
"1183","PWY-5891","menaquinol-11 biosynthesis"
"1184","PWY-5892","menaquinol-12 biosynthesis"
"1185","PWY-5893","tridecaprenyl diphosphate biosynthesis"
"1186","PWY-5895","menaquinol-13 biosynthesis"
"1187","PWY-5896","superpathway of menaquinol-10 biosynthesis"
"1188","PWY-5897","superpathway of menaquinol-11 biosynthesis"
"1189","PWY-5898","superpathway of menaquinol-12 biosynthesis"
"1190","PWY-5899","superpathway of menaquinol-13 biosynthesis"
"1191","PWY-5901","2,3-dihydroxybenzoate biosynthesis"
"1192","PWY-5903","bacillibactin biosynthesis"
"1193","PWY-5905","hypusine biosynthesis"
"1194","PWY-5907","homospermidine biosynthesis"
"1195","PWY-5910","superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)"
"1196","PWY-5912","2'-deoxymugineic acid phytosiderophore biosynthesis"
"1197","PWY-5913","TCA cycle VI (obligate autotrophs)"
"1198","PWY-5915","phycoerythrobilin biosynthesis I"
"1199","PWY-5917","phycocyanobilin biosynthesis"
"1200","PWY-5918","superpathay of heme biosynthesis from glutamate"
"1201","PWY-5920","superpathway of heme biosynthesis from glycine"
"1202","PWY-5921","glutaminyl-tRNAgln biosynthesis via transamidation"
"1203","PWY-5922","(4R)-carveol and (4R)-dihydrocarveol degradation"
"1204","PWY-5923","limonene degradation I (D-limonene)"
"1205","PWY-5924","limonene degradation II (L-limonene)"
"1206","PWY-5925","hydroxylated mugineic acid phytosiderophore biosynthesis"
"1207","PWY-5926","afrormosin conjugates interconversion"
"1208","PWY-5927","(4S)-carveol and (4S)-dihydrocarveol degradation"
"1209","PWY-5928","(4R)-carvone biosynthesis"
"1210","PWY-5929","puromycin biosynthesis"
"1211","PWY-5930","terpentecin biosynthesis"
"1212","PWY-5934","iron reduction and absorption"
"1213","PWY-5935","tuberculosinol biosynthesis"
"1214","PWY-5936","xyloglucan biosynthesis"
"1215","PWY-5938","(R)-acetoin biosynthesis I"
"1216","PWY-5939","(R)-acetoin biosynthesis II"
"1217","PWY-5940","streptomycin biosynthesis"
"1218","PWY-5941","glycogen degradation II (eukaryotic)"
"1219","PWY-5942","trans-lycopene biosynthesis I (bacteria)"
"1220","PWY-5943","&beta;-carotene biosynthesis"
"1221","PWY-5944","zeaxanthin biosynthesis"
"1222","PWY-5945","zeaxanthin, antheraxanthin and violaxanthin interconversion"
"1223","PWY-5946","&delta;-carotene biosynthesis"
"1224","PWY-5947","lutein biosynthesis"
"1225","PWY-5950","geosmin biosynthesis"
"1226","PWY-5951","(R,R)-butanediol biosynthesis"
"1227","PWY-5954","(1'S,5'S)-averufin biosynthesis"
"1228","PWY-5955","versicolorin B biosynthesis"
"1229","PWY-5956","sterigmatocystin biosynthesis"
"1230","PWY-5957","L-nicotianamine biosynthesis"
"1231","PWY-5958","acridone alkaloid biosynthesis"
"1232","PWY-5959","aflatoxins B1 and G1 biosynthesis"
"1233","PWY-5960","aflatoxins B2 and G2 biosynthesis"
"1234","PWY-5961","superpathway of aflatoxin biosynthesis"
"1235","PWY-5963","thio-molybdenum cofactor biosynthesis"
"1236","PWY-5964","guanylyl molybdenum cofactor biosynthesis"
"1237","PWY-5965","fatty acid biosynthesis initiation III"
"1238","PWY-5966","fatty acid biosynthesis initiation II"
"1239","PWY-5967","lupinate biosynthesis"
"1240","PWY-5968","cinnamate esters biosynthesis"
"1241","PWY-5970","fatty acids biosynthesis (yeast)"
"1242","PWY-5971","palmitate biosynthesis II (bacteria and plants)"
"1243","PWY-5972","stearate biosynthesis I (animals and fungi)"
"1244","PWY-5973","cis-vaccenate biosynthesis"
"1245","PWY-5975","furaneol biosynthesis"
"1246","PWY-5976","dhurrin degradation"
"1247","PWY-5978","kanosamine biosynthesis I"
"1248","PWY-5979","3-amino-5-hydroxybenzoate biosynthesis"
"1249","PWY-5980","xylogalacturonan biosynthesis"
"1250","PWY-5981","CDP-diacylglycerol biosynthesis III"
"1251","PWY-5982","sulfoacetaldehyde degradation II"
"1252","PWY-5983","trehalose biosynthesis VI"
"1253","PWY-5984","rifamycin B biosynthesis"
"1254","PWY-5985","trehalose biosynthesis VII"
"1255","PWY-5987","sorgoleone biosynthesis"
"1256","PWY-5989","stearate biosynthesis II (bacteria and plants)"
"1257","PWY-5990","lotaustralin biosynthesis"
"1258","PWY-5991","superpathway of linamarin and lotaustralin biosynthesis"
"1259","PWY-5992","thalianol and derivatives biosynthesis"
"1260","PWY-5993","superpathway of rifamycin B biosynthesis"
"1261","PWY-5994","palmitate biosynthesis I (animals and fungi)"
"1262","PWY-5995","linoleate biosynthesis I (plants)"
"1263","PWY-5996","oleate biosynthesis II (animals and fungi)"
"1264","PWY-5997","&alpha;-linolenate biosynthesis I (plants and red algae)"
"1265","PWY-5998","&gamma;-linolenate biosynthesis I (plants)"
"1266","PWY-5","canavanine biosynthesis"
"1267","PWY5F9-12","biphenyl degradation"
"1268","PWY5F9-3233","phthalate degradation"
"1269","PWY-6000","&gamma;-linolenate biosynthesis II (animals)"
"1270","PWY-6001","linoleate biosynthesis II (animals)"
"1271","PWY-6002","lotaustralin degradation"
"1272","PWY-6003","gramicidin S biosynthesis"
"1273","PWY-6004","glycine betaine biosynthesis V (from glycine)"
"1274","PWY-6005","marneral biosynthesis"
"1275","PWY-6007","arabidiol biosynthesis"
"1276","PWY-6008","baruol biosynthesis"
"1277","PWY-6010","apigenin glycosides biosynthesis"
"1278","PWY-6011","amygdalin and prunasin degradation"
"1279","PWY-6012-1","acyl carrier protein metabolism II (mammalian)"
"1280","PWY-6012","acyl carrier protein metabolism I"
"1281","PWY-6013","crepenynate biosynthesis"
"1282","PWY-6014","vernolate biosynthesis I"
"1283","PWY-6015","vitexin and derivatives biosynthesis"
"1284","PWY-6019","pseudouridine degradation"
"1285","PWY-601","glucosinolate biosynthesis from tryptophan"
"1286","PWY-6021","nitrilotriacetate degradation"
"1287","PWY-6024","isovitexin and isovitexin glycosides biosynthesis"
"1288","PWY-6027","capsiconiate biosynthesis"
"1289","PWY-6028","acetoin degradation"
"1290","PWY-6029","2,3-trans-flavanols biosynthesis"
"1291","PWY-6030","serotonin and melatonin biosynthesis"
"1292","PWY-6032","cardenolide biosynthesis"
"1293","PWY-6035","2,3-cis-flavanols biosynthesis"
"1294","PWY-6036","cardenolide glucosides biosynthesis"
"1295","PWY-6038","citrate degradation"
"1296","PWY-6039","chlorogenic acid biosynthesis I"
"1297","PWY-6040","chlorogenic acid biosynthesis II"
"1298","PWY-6041","4-sulfocatechol degradation"
"1299","PWY-6043","ethanedisulfonate degradation"
"1300","PWY-6044","methanesulfonate degradation"
"1301","PWY-6045","methylthiopropanonate degradation II (demethylation)"
"1302","PWY-6046","dimethylsulfoniopropanoate degradation I (cleavage)"
"1303","PWY-6047","dimethyl sulfide degradation I"
"1304","PWY-6048","methylthiopropanoate degradation I (cleavage)"
"1305","PWY-6049","superpathway of dimethylsulfoniopropanoate degradation"
"1306","PWY-6050","dimethyl sulfoxide degradation"
"1307","PWY-6051","2,4,6-trinitrotoluene degradation"
"1308","PWY-6052","dimethylsulfoniopropanoate degradation III (demethylation)"
"1309","PWY-6053","dimethylsulfoniopropanoate biosynthesis III (algae)"
"1310","PWY-6054","dimethylsulfoniopropanoate biosynthesis I (Wollastonia)"
"1311","PWY-6055","dimethylsulfoniopropanoate biosynthesis II (Spartina)"
"1312","PWY-6056","dimethylsulfoniopropanoate degradation II (cleavage)"
"1313","PWY-6057","dimethyl sulfide degradation III (oxidation)"
"1314","PWY-6058","dimethyl sulfone degradation"
"1315","PWY-6059","dimethyl sulfide degradation II (oxidation)"
"1316","PWY-6060","malonate degradation II (biotin-dependent)"
"1317","PWY-6061","bile acid biosynthesis, neutral pathway"
"1318","PWY-6064","methylquercetin biosynthesis"
"1319","PWY-6068","indican biosynthesis"
"1320","PWY-6069","indigo biosynthesis"
"1321","PWY-6071","superpathway of phenylethylamine degradation"
"1322","PWY-6072","superpathway of dimethylsulfone degradation"
"1323","PWY-6073","alginate biosynthesis I (algal)"
"1324","PWY-6074","zymosterol biosynthesis"
"1325","PWY-6075","ergosterol biosynthesis I"
"1326","PWY-6076","vitamin D3 biosynthesis"
"1327","PWY-6077","anthranilate degradation II (aerobic)"
"1328","PWY-6079","anthranilate degradation I (aerobic)"
"1329","PWY-6080","4-ethylphenol degradation (anaerobic)"
"1330","PWY-6081","1,3-dichlorobenzene degradation"
"1331","PWY-6082","alginate biosynthesis II (bacterial)"
"1332","PWY-6083","chlorobenzene degradation"
"1333","PWY-6084","3,5-dichlorocatechol degradation"
"1334","PWY-6085","2,4-dichlorophenoxyacetate  degradation"
"1335","PWY-6086","4-chloro-2-methylphenoxyacetate degradation"
"1336","PWY-6087","4-chlorocatechol degradation"
"1337","PWY-6088","3-chlorobenzoate degradation I (via chlorocatechol)"
"1338","PWY-6089","3-chlorocatechol degradation I (ortho)"
"1339","PWY-6090","1,2-dichlorobenzene degradation"
"1340","PWY-6091","1,2,4-trichlorobenzene degradation"
"1341","PWY-6093","4,5-dichlorocatechol degradation"
"1342","PWY-6094","3,4,6-trichlorocatechol degradation"
"1343","PWY-6095","dammara-20,24-diene biosynthesis"
"1344","PWY-6098","diploterol and cycloartenol biosynthesis"
"1345","PWY-6099","1,2,4,5-tetrachlorobenzene degradation"
"1346","PWY-6100","L-carnitine biosynthesis"
"1347","PWY-6102","5-chloro-3-methyl-catechol degradation"
"1348","PWY-6103","3-chlorotoluene degradation I"
"1349","PWY-6104","3-chlorotoluene degradation II"
"1350","PWY-6105","botryococcenes and methylated squalene biosynthesis"
"1351","PWY-6107","chlorosalicylate degradation"
"1352","PWY-6109","mangrove triterpenoid biosynthesis"
"1353","PWY-6111","mitochondrial L-carnitine shuttle"
"1354","PWY-6113","superpathway of mycolate biosynthesis"
"1355","PWY-6115","avenacin biosynthesis, initial reactions"
"1356","PWY-6116","mannosylfructose biosynthesis"
"1357","PWY-6117","spermine and spermidine degradation I"
"1358","PWY-6118","glycerol-3-phosphate shuttle"
"1359","PWY-6120","L-tyrosine biosynthesis III"
"1360","PWY-6121","5-aminoimidazole ribonucleotide biosynthesis I"
"1361","PWY-6122","5-aminoimidazole ribonucleotide biosynthesis II"
"1362","PWY-6123","inosine-5'-phosphate biosynthesis I"
"1363","PWY-6124","inosine-5'-phosphate biosynthesis II"
"1364","PWY-6125","superpathway of guanosine nucleotides de novo biosynthesis II"
"1365","PWY-6126","superpathway of adenosine nucleotides de novo biosynthesis II"
"1366","PWY-6128","cis-calamenene related sesquiterpenoids biosynthesis"
"1367","PWY-6129","dolichol and dolichyl phosphate biosynthesis"
"1368","PWY-6130","glycerol degradation III"
"1369","PWY-6131","glycerol degradation II"
"1370","PWY-6132","lanosterol biosynthesis"
"1371","PWY-6133","(S)-reticuline biosynthesis II"
"1372","PWY-6134","L-tyrosine biosynthesis IV"
"1373","PWY-6138","CMP-N-acetylneuraminate biosynthesis I (eukaryotes)"
"1374","PWY-6139","CMP-N-acetylneuraminate biosynthesis II (bacteria)"
"1375","PWY-6140","CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate biosynthesis"
"1376","PWY-6141","archaetidylserine and archaetidylethanolamine biosynthesis"
"1377","PWY-6142","gluconeogenesis II (Methanobacterium thermoautotrophicum)"
"1378","PWY-6143","CMP-pseudaminate biosynthesis"
"1379","PWY-6144","CMP-N-glycoloylneuraminate biosynthesis"
"1380","PWY-6145","superpathway of sialic acids and CMP-sialic acids biosynthesis"
"1381","PWY-6146","Methanobacterium thermoautotrophicum biosynthetic metabolism"
"1382","PWY-6147","6-hydroxymethyl-dihydropterin diphosphate biosynthesis I"
"1383","PWY-6148","tetrahydromethanopterin biosynthesis"
"1384","PWY-6151","S-adenosyl-L-methionine cycle I"
"1385","PWY-6153","autoinducer AI-2 biosynthesis I"
"1386","PWY-6154","autoinducer AI-2 biosynthesis II (Vibrio)"
"1387","PWY-6157","autoinducer AI-1 biosynthesis"
"1388","PWY-6158","creatine-phosphate biosynthesis"
"1389","PWY-6160","3-dehydroquinate biosynthesis II (archaea)"
"1390","PWY-6163","chorismate biosynthesis from 3-dehydroquinate"
"1391","PWY-6164","3-dehydroquinate biosynthesis I"
"1392","PWY-6165","chorismate biosynthesis II (archaea)"
"1393","PWY-6167","flavin biosynthesis II (archaea)"
"1394","PWY-6168","flavin biosynthesis III (fungi)"
"1395","PWY-6173","histamine biosynthesis"
"1396","PWY-6174","mevalonate pathway II (archaea)"
"1397","PWY-6176","superpathway of Allium flavor precursors"
"1398","PWY-6178","2,4,6-trichlorophenol degradation"
"1399","PWY-6181","histamine degradation"
"1400","PWY-6182","superpathway of salicylate degradation"
"1401","PWY-6183","salicylate degradation I"
"1402","PWY-6184","methylsalicylate degradation"
"1403","PWY-6185","4-methylcatechol degradation (ortho cleavage)"
"1404","PWY-6190","2,4-dichlorotoluene degradation"
"1405","PWY-6191","2,5-dichlorotoluene degradation"
"1406","PWY-6192","3,4-dichlorotoluene degradation"
"1407","PWY-6193","3-chlorocatechol degradation II (ortho)"
"1408","PWY-6196","D-serine metabolism"
"1409","PWY-6197","chlorinated phenols degradation"
"1410","PWY-6199","quercetin sulfate biosynthesis"
"1411","PWY-6200","2,4,5-trichlorophenoxyacetate degradation"
"1412","PWY-6210","2-aminophenol degradation"
"1413","PWY-6214","3-chlorocatechol degradation III (meta pathway)"
"1414","PWY-6215","4-chlorobenzoate degradation"
"1415","PWY-6216","3-chlorobenzoate degradation II (via protocatechuate)"
"1416","PWY-6217","3,4-dichlorobenzoate degradation"
"1417","PWY-6219","indole-3-acetyl-amide conjugate biosynthesis"
"1418","PWY-621","sucrose degradation III (sucrose invertase)"
"1419","PWY-6220","jasmonoyl-amino acid conjugates biosynthesis I"
"1420","PWY-6221","2-chlorobenzoate degradation"
"1421","PWY-6223","gentisate degradation I"
"1422","PWY-6224","salicylate degradation II"
"1423","PWY-6228","3-chlorobenzoate degradation III (via gentisate)"
"1424","PWY-622","starch biosynthesis"
"1425","PWY-6232","chrysoeriol biosynthesis"
"1426","PWY-6233","jasmonoyl-amino acid conjugates biosynthesis II"
"1427","PWY-6234","superpathway of jasmonoyl-amino acid conjugates biosynthesis"
"1428","PWY-6239","luteolin glycosides biosynthesis"
"1429","PWY-6241","thyroid hormone biosynthesis"
"1430","PWY-6243","bergamotene biosynthesis I"
"1431","PWY-6244","bergamotene biosynthesis II"
"1432","PWY-6254","santalene biosynthesis I"
"1433","PWY-6257","curcumene biosynthesis"
"1434","PWY-6258","patchoulol biosynthesis"
"1435","PWY-6260","thyroid hormone metabolism I (via deiodination)"
"1436","PWY-6261","thyroid hormone metabolism II (via conjugation and/or degradation)"
"1437","PWY-6262","demethylmenaquinol-8 biosynthesis II"
"1438","PWY-6263","superpathway of menaquinol-8 biosynthesis II"
"1439","PWY-6265","zerumbone biosynthesis"
"1440","PWY-6266","superpathway of flavones and derivatives biosynthesis"
