,Date,AD,SludgeType,Treatment,daysop,week,Period,SampleID.TSVS,TS_ww,VS_wwTS,VS_ww,VSr_pct,SampleID.pH,pH,SampleID.CODNH4,COD_mgL,TNH3_mgL,FAN_mgL,CODr_pct,CH4_pct,CH4_L,CH4_L_kgVS,O2_pct,Gasflow_mL,SampleID.CHN,C,H_pct,N_pct,CN,HC,gC_kg,gH_kg,gN_kg,SampleID.VFA,Ethanol,Propanol,Butanol,X1.Hexanol,Acetic.acid,Propionic.acid,iso.Butyric.acid,Butyric.acid,iso.Valeric.acid,Valeric.acid,4-Methyl.valeric.acid,Hexanoic.acid,DTubeID,SampleID.DNA,ngmL_qb,DNA_mg_gCOD,DNA_mg_gVS,DNA_mg_L,DNA_mgLSludge,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,pielou_ev,VFAS
561,2/6/2023,AD3,Control,Control,93,14,Recovery/Foaming,,,,,,,,,,,,,55,0.9974866,,2.5,1813.612,S1185_AD3,33.685,5.602,5.109,6.6,0.17,0,0,0,,,,,,,,,,,,,,#142,S1149_AD3,146.33,0.7619,,0.00,14.6,429.00,441.79,6.33,440.58,10.33,4.20,0.96,22.48,70.53,0.69,0
562,2/6/2023,AD4,Control,Control,93,14,Recovery/Foaming,,,,,,,,,,,,,57,0.95888763,,2.7,1682.259,S1186_AD4,31.367,4.996,4.625,6.8,0.16,0,0,0,,,,,,,,,,,,,,#143,S1150_AD4,112,0.5436,,0.00,11.6,426.00,434.90,5.02,435.11,10.30,4.17,0.96,23.47,69.94,0.69,0
563,2/6/2023,AD5,Treatment,Treatment,93,14,Recovery/Foaming,,,,,,,,,,,,,66,3.17871048,,1.1,4816.228,S1187_AD5,34.969,6.035,4.031,8.7,0.17,0,0,0,,,,,,,,,,,,,,#144,S1151_AD5,51.6,0.2703,,0.00,5.1,444.00,457.54,6.41,458.14,10.55,4.23,0.96,24.88,73.49,0.69,0
565,2/6/2023,AD6,Treatment,Treatment,93,14,Recovery/Foaming,,,,,,,,,,,,,70,3.2093572,,1.2,4584.796,S1188_AD6,35,6.366,3.522,9.9,0.18,0,0,0,,,,,,,,,,,,,,#145,S1152_AD6,56.93,0.2665,,0.00,5.7,478.00,495.50,7.89,491.17,10.89,4.32,0.96,28.35,80.30,0.70,0
560,2/6/2023,AD2,Foam,Treatment,93,14,Recovery/Foaming,,,,,,,,,,,,,78,5.57072256,,1.4,7141.952,,,,,,,,,,,,,,,,,,,,,,,#146,S1154_AD2,96.7,,,0.00,21.5,492.00,500.78,4.74,502.53,11.01,4.39,0.96,26.75,83.13,0.71,0
564,2/6/2023,AD5,Foam,Treatment,93,14,Recovery/Foaming,,,,,,,,,,,,,66,3.17871048,,1.1,4816.228,S1187_AD5,34.969,6.035,4.031,8.7,0.17,0,0,0,,,,,,,,,,,,,,#147,S1157_AD5,97.9,,,0.00,18.3,579.00,608.32,10.65,603.03,12.07,4.47,0.97,32.17,101.18,0.70,0
566,2/6/2023,AD6,Foam,Treatment,93,14,Recovery/Foaming,,,,,,,,,,,,,70,3.2093572,,1.2,4584.796,S1188_AD6,35,6.366,3.522,9.9,0.18,0,0,0,,,,,,,,,,,,,,#148,S1158_AD6,112,,,0.00,19.1,484.00,496.72,6.13,497.15,10.94,4.37,0.96,22.51,81.51,0.71,0
579,5/6/2023,AD1,Control,Control,96,15,Recovery/Foaming,,,,,,S1077_AD1,7.35,S1231_AD1,24034.5,1150,32.08443926,69.5299129,53,1.66823118,269.4316845,3,3147.606,S1201_AD1,34.906,5.537,5.572,6.3,0.16,0,0,0,S1213_AD1,0,1.38,0,0.27,46.68,16.09,1.27,2.15,2.15,1.53,1.78,0.29,#149,S1195_AD1,159,1.0033,,0.00,15.6,566.00,598.34,11.80,590.14,11.98,4.47,0.97,30.24,98.44,0.71,
580,5/6/2023,AD2,Treatment,Treatment,96,15,Recovery/Foaming,,,,,,S1078_AD2,7.42,S1232_AD2,25168,1225,39.95937538,68.09290179,64,4.03720832,652.0390288,2.9,6308.138,S1202_AD2,33.842,5.041,4.648,7.3,0.15,0,0,0,S1214_AD2,0,0.71,0,0.32,68.25,235.84,1.69,1.59,2.63,1.51,3.18,0.36,#150,S1196_AD2,114,0.7164,,0.00,11.6,545.00,566.56,8.51,564.38,11.66,4.34,0.97,30.50,94.04,0.69,
582,5/6/2023,AD3,Control,Control,96,15,Recovery/Foaming,,,,,,S1079_AD3,7.06,S1233_AD3,23598.5,1200,17.40687466,70.08265825,38,0.78506062,126.7931015,4.7,2065.949,S1203_AD3,34.277,5.859,5.437,6.3,0.17,0,0,0,S1215_AD3,0,0,0,0.29,581.59,50.57,19.43,6.64,26.92,2.86,3.34,0.72,#151,S1197_AD3,203.5,1.3908,,0.00,21.2,492.00,501.22,4.88,502.10,11.08,4.27,0.96,23.91,83.13,0.69,
583,5/6/2023,AD4,Control,Control,96,15,Recovery/Foaming,,,,,,S1080_AD4,7.93,S1234_AD4,26408.5,1475,145.111154,66.52023986,61,1.95522934,315.7840118,1.5,3205.294,S1204_AD4,34.01,4.952,4.987,6.8,0.15,0,0,0,S1216_AD4,3.04,0.44,0.43,0.08,55.2,12.82,1.03,1.88,0.91,1.54,2.12,0.29,#152,S1198_AD4,132,0.7671,,0.00,13.1,640.00,690.96,15.54,675.15,12.63,4.46,0.97,30.80,114.26,0.69,
584,5/6/2023,AD5,Treatment,Treatment,96,15,Recovery/Foaming,,,,,,S1081_AD5,6.98,S1235_AD5,19259,1150,13.9090843,75.58412252,64,4.5122784,728.7663634,2.7,7050.435,S1205_AD5,33.833,6.05,4.45,7.6,0.18,0,0,0,S1217_AD5,4.81,0.13,0,0.3,286.34,2350.78,38.39,68.52,226.35,93.72,4.31,5.79,#153,S1199_AD5,86.9,0.6973,,0.00,8.7,705.00,737.11,10.89,730.65,13.26,4.70,0.97,35.38,128.56,0.72,
586,5/6/2023,AD6,Treatment,Treatment,96,15,Recovery/Foaming,,,,,,S1082_AD6,7.21,S1236_AD6,16255.5,1150,23.42320153,79.39185334,64,4.17207168,673.8204598,3.2,6518.862,,,,,,,,,,S1218_AD6,0,0.73,0,0.27,174.51,2490.22,177.43,18.51,323.12,109.9,4.7,3.95,#154,S1200_AD6,71.9,0.6897,,0.00,7.2,644.00,667.82,8.53,668.44,12.59,4.60,0.97,37.54,115.13,0.71,
614,9/6/2023,Full-scale,Full-scale,Full-scale,100,15,Recovery/Postfoam,,,,,,,,,,,,,,,,,,S1275_ADFull,35.069,6.085,5.954,5.9,0.17,7.5,1.3,1.27,,,,,,,,,,,,,,#155,S1273_ADFull,270.5,1.2968,4.5388,27.69,27.7,638.00,647.36,4.72,649.08,12.56,4.89,0.97,39.85,113.82,0.76,
595,7/6/2023,PSTWAS,PSTWAS,PSTWAS,98,15,Recovery/Foaming,F123,3.5,54.53,1.95,,F118,5.71,F122,86510,0,0,,,,,,,F117,43.903,6.778,5.049,8.7,0.15,13.43,2.07,1.54,,,,,,,,,,,,,,#156,F115,199.5,0.4784,0.9911,19.26,19.3,1083.00,1137.14,14.49,1130.11,16.60,6.00,0.99,172.96,218.51,0.86,
581,5/6/2023,AD2,Foam,Treatment,96,15,Recovery/Foaming,,,,,,S1078_AD2,7.42,S1232_AD2,25168,1225,39.95937538,68.09290179,64,4.03720832,652.0390288,2.9,6308.138,S1202_AD2,33.842,5.041,4.648,7.3,0.15,0,0,0,S1214_AD2,0,0.71,0,0.32,68.25,235.84,1.69,1.59,2.63,1.51,3.18,0.36,#157,S1284_AD2,116,,,0.00,22.7,573.00,601.21,10.35,597.50,12.07,4.52,0.97,32.40,99.91,0.71,
585,5/6/2023,AD5,Foam,Treatment,96,15,Recovery/Foaming,,,,,,S1081_AD5,6.98,S1235_AD5,19259,1150,13.9090843,75.58412252,64,4.5122784,728.7663634,2.7,7050.435,S1205_AD5,33.833,6.05,4.45,7.6,0.18,0,0,0,S1217_AD5,4.81,0.13,0,0.3,286.34,2350.78,38.39,68.52,226.35,93.72,4.31,5.79,#158,S1285_AD5,136.5,,,0.00,27.3,400.00,410.22,5.33,411.12,9.95,4.29,0.97,31.12,64.87,0.72,
587,5/6/2023,AD6,Foam,Treatment,96,15,Recovery/Foaming,,,,,,S1082_AD6,7.21,S1236_AD6,16255.5,1150,23.42320153,79.39185334,64,4.17207168,673.8204598,3.2,6518.862,,,,,,,,,,S1218_AD6,0,0.73,0,0.27,174.51,2490.22,177.43,18.51,323.12,109.9,4.7,3.95,#159,S1286_AD6,112,,,0.00,21.6,406.00,427.79,9.24,425.02,10.12,4.30,0.97,32.82,66.04,0.72,
596,7/6/2023,AD1,Control,Control,98,15,Recovery/Foaming,,,,,,S1311_AD1,7.76,,,,,,,,,,3828.303,S1293_AD1,34.577,5.452,5.676,6.1,0.16,7.43,1.17,1.22,S1305_AD1,0,1.4,0,0.28,54.71,15.25,1.05,1.02,2.31,0.83,2.42,0.46,#160,S1287_AD1,169,1.0987,1.1012,17.04,17,614.00,634.51,7.99,634.13,12.41,4.64,0.97,36.75,108.64,0.72,
597,7/6/2023,AD2,Treatment,Treatment,98,15,Recovery/Foaming,,,,,,S1312_AD2,7.42,,,,,,,,,,5751.628,S1294_AD2,34.597,5.095,4.96,7,0.15,10.28,1.51,1.47,S1306_AD2,0,1.57,0,0.27,729.75,61.36,29.05,9.66,43.65,3.01,4.02,1.17,#161,S1288_AD2,134.33,0.8232,0.7785,13.37,13.4,668.00,704.54,11.16,705.20,12.78,4.44,0.97,31.91,120.37,0.68,
598,7/6/2023,AD3,Control,Control,98,15,Recovery/Foaming,,,,,,S1313_AD3,7.66,,,,,,,,,,2311.828,S1295_AD3,34.881,5.352,5.204,6.7,0.15,5.96,0.92,0.89,S1307_AD3,0,0.73,0,0.25,85.37,108.52,1.48,1.56,2.49,1.3,3.88,0.44,#162,S1289_AD3,163.67,1.0728,1.3692,16.33,16.3,606.00,638.68,11.07,633.57,12.24,4.36,0.95,22.19,106.93,0.68,
599,7/6/2023,AD4,Control,Control,98,15,Recovery/Foaming,,,,,,S1314_AD4,8.06,,,,,,,,,,4045.164,S1296_AD4,34.82,5.584,5.354,6.5,0.16,7.8,1.25,1.2,S1308_AD4,0,0,0,0.24,67.29,9.87,0.95,1.23,0.74,0.7,2.87,0.38,#163,S1290_AD4,147.67,0.8746,0.9047,14.90,14.9,670.00,705.50,11.19,702.57,12.86,4.56,0.97,31.56,120.81,0.70,
600,7/6/2023,AD5,Treatment,Treatment,98,15,Recovery/Foaming,,,,,,S1315_AD5,6.95,,,,,,,,,,7226.192,S1297_AD5,34.665,5.745,4.722,7.3,0.17,14.35,2.38,1.95,S1309_AD5,0,0,0,0.13,108.74,1913.15,34.15,4.42,128.6,54.3,4.59,1.4,#164,S1291_AD5,113.33,0.9094,0.3637,11.30,11.3,572.00,593.38,8.22,593.15,11.92,4.23,0.96,24.97,99.70,0.67,
601,7/6/2023,AD6,Treatment,Treatment,98,15,Recovery/Foaming,,,,,,S1316_AD6,7.98,,,,,,,,,,6558.115,S1298_AD6,34.349,5.311,4.253,8.1,0.15,7.73,1.19,0.96,S1310_AD6,5.51,0,0,0.1,91.63,2492.74,23.99,7.97,148.3,30.27,8.03,3.02,#165,S1292_AD6,77.73,0.7441,0.4599,7.80,7.8,541.00,578.28,14.30,559.95,11.60,4.66,0.98,45.01,93.21,0.74,
627,12/6/2023,AD1,Control,Control,103,16,Recovery/Postfoam,,,,,,S1335_AD1,7.38,,,,,,,,,,4510.529,S1323_AD1,33.865,5.385,5.349,6.3,0.16,6.84,1.09,1.08,S1335_AD1,0,0,0,0.08,65.89,21.09,1.05,1.16,2.18,0.78,2.37,0.77,#166,S1317_AD1,158.33,1.1277,1.1094,15.87,15.9,558.00,567.23,4.83,568.26,11.81,4.56,0.97,30.89,96.76,0.72,
628,12/6/2023,AD2,Treatment,Treatment,103,16,Recovery/Postfoam,,,,,,S1336_AD2,7.34,,,,,,,,,,4763.923,S1324_AD2,33.505,5.365,4.761,7,0.16,7.17,1.15,1.02,S1336_AD2,0,0,0,0.1,96.4,19.27,1.47,1.08,0.82,0.5,23.36,0.35,#167,S1318_AD2,132.67,0.8643,0.8989,13.24,13.2,530.00,544.32,6.50,543.55,11.46,4.36,0.97,32.17,90.92,0.70,
629,12/6/2023,AD3,Control,Control,103,16,Recovery/Postfoam,,,,,,S1337_AD3,6.68,,,,,,,,,,2872.534,S1325_AD3,32.266,6.12,5.145,6.3,0.19,6.39,1.21,1.02,S1337_AD3,0.64,0,0,0.09,1680.23,197.86,63.96,62.24,99.2,15.78,7.42,5.95,#168,S1319_AD3,150.67,0.8572,1.0584,15.06,15.1,529.00,540.92,5.87,539.53,11.47,4.39,0.96,26.17,90.72,0.70,
630,12/6/2023,AD4,Control,Control,103,16,Recovery/Postfoam,,,,,,S1338_AD4,7.43,,,,,,,,,,5002.485,S1326_AD4,33.187,5.691,5.02,6.6,0.17,7.63,1.31,1.15,S1338_AD4,0,0,0.17,0.21,58.18,11.91,1.03,1.06,0.87,0.43,2.38,0.15,#169,S1320_AD4,230.33,1.362,1.4293,23.83,23.8,614.00,637.18,8.70,634.31,12.28,4.52,0.97,36.73,108.64,0.70,
631,12/6/2023,AD5,Treatment,Treatment,103,16,Recovery/Postfoam,,,,,,S1339_AD5,7.49,,,,,,,,,,13179.744,S1327_AD5,33.272,5.323,4.76,7,0.16,6.02,0.96,0.86,S1339_AD5,0,0,0.2,0.2,67.79,55.06,1.41,1.22,1.62,0.71,3.61,0.5,#170,S1321_AD5,195.67,1.405,1.6579,20.28,20.3,574.00,594.02,8.26,589.97,11.93,4.32,0.96,26.07,100.12,0.68,
632,12/6/2023,AD6,Treatment,Treatment,103,16,Recovery/Postfoam,,,,,,S1340_AD6,7.54,,,,,,,,,,9809.213,S1328_AD6,33.34,5.373,4.36,7.6,0.16,7.17,1.16,0.94,S1340_AD6,0.74,0,0,0,188.67,579.19,7.69,6.54,37.9,21.66,11.56,1.05,#171,S1322_AD6,151,1.0656,1.1261,15.88,15.9,613.00,633.20,8.09,630.21,12.36,4.74,0.98,43.60,108.43,0.74,
639,14/6/2023,PSTWAS,PSTWAS,PSTWAS,105,16,Recovery/Postfoam,F132,3.44,86,2.97,,,,F131,65516,,,,,,,,,F126,43.298,6.792,5.236,8.3,0.16,14.89,2.34,1.8,,,,,,,,,,,,,,#172,F124,251.33,0.5017,0.5245,15.58,26,1243.00,1294.00,13.40,1287.82,17.73,6.11,0.99,143.66,259.79,0.86,
670,19/6/2023,AD1,Control,Control,110,17,SteadyState/Postfoam,,,,,,,,S1383_AD1,21893.5,1225,20.35838459,68.90525359,,,,,3737.866,S1395_AD1,34.44,5.667,5.397,6.4,0.16,0,0,0,S1407_AD1,0,0.07,0.07,0.71,46.51,12.34,0.88,0.84,1.65,0.42,2.56,0.56,#173,S1389_AD1,217.67,1.5612,1.5832,22.05,22.1,556.00,566.15,5.00,567.93,11.76,4.47,0.97,31.25,96.34,0.71,
671,19/6/2023,AD2,Treatment,Treatment,110,17,SteadyState/Postfoam,,,,,,,,S1384_AD2,22940,1325,25.79660763,67.41893792,,,,,3992.557,S1396_AD2,34.962,5.535,5.255,6.7,0.16,0,0,0,S1408_AD2,0,0,0,0.15,55.45,9.92,0.97,0.85,0.66,0.46,7.68,0.4,#174,S1390_AD2,189,1.2569,1.246,18.60,18.6,579.00,608.52,10.07,607.40,11.92,4.21,0.96,25.89,101.18,0.66,
672,19/6/2023,AD3,Control,Control,110,17,SteadyState/Postfoam,,,,,,,,S1385_AD3,28810.5,1275,5.773306964,59.08122541,,,,,2384.627,S1397_AD3,34.901,5.94,5.311,6.6,0.17,0,0,0,S1409_AD3,0,0,0.2,0.43,1821.15,365.87,100.6,178.6,169.86,63.7,7.67,41.4,#175,S1391_AD3,164,0.8762,1.1949,16.29,16.3,695.00,720.05,9.20,715.70,13.08,4.64,0.97,28.59,126.34,0.71,
673,19/6/2023,AD4,Control,Control,110,17,SteadyState/Postfoam,,,,,,,,S1386_AD4,24819.5,1350,19.14329749,64.74953486,,,,,3831.936,S1398_AD4,35.101,5.393,5.425,6.5,0.15,0,0,0,S1410_AD4,0,0,0,0.56,40.82,7.74,0.9,1.33,1.26,0.63,3.19,0.55,#176,S1392_AD4,204.33,1.1772,1.2401,18.85,18.8,627.00,656.55,10.01,654.55,12.43,4.38,0.96,25.21,111.44,0.68,
674,19/6/2023,AD5,Treatment,Treatment,110,17,SteadyState/Postfoam,,,,,,,,S1387_AD5,22688,1350,32.19124987,67.77684671,,,,,4262.618,S1399_AD5,35.142,5.279,4.995,7,0.15,0,0,0,S1411_AD5,0,0,0,0.18,52.6,7.24,0.71,0.78,0.57,0.38,2.77,0.15,#177,S1393_AD5,201.33,1.3354,1.4032,19.55,19.5,466.00,472.33,4.08,471.34,10.74,4.05,0.95,20.09,77.88,0.66,
675,19/6/2023,AD6,Treatment,Treatment,110,17,SteadyState/Postfoam,,,,,,,,S1388_AD6,21893.5,1275,26.56150049,68.90525359,,,,,3783.439,S1400_AD6,35.736,5.348,4.769,7.5,0.15,0,0,0,S1412_AD6,0,0,0,0.23,49.7,7.24,0.72,0.77,0.49,0.39,2.42,0.19,#178,S1394_AD6,157,1.0983,1.2961,15.51,15.5,750.00,793.63,12.67,789.53,13.50,4.63,0.97,35.86,138.67,0.70,
683,21/6/2023,AD1,Control,Control,112,17,SteadyState/Postfoam,,,,,,,,,,,,,60,2.106963,323.6088058,2,3511.605,S1449_AD1,35.265,5.724,5.574,6.3,0.16,0,0,0,S1461_AD1,0,0,0,0.74,41.15,5.97,0.52,0.67,0.3,0.3,2.13,0.3,#179,S1443_AD1,210.33,1.4816,1.6571,20.93,20.9,486.00,498.20,5.78,500.91,11.06,4.36,0.97,31.72,81.91,0.71,
684,21/6/2023,AD2,Treatment,Treatment,112,17,SteadyState/Postfoam,,,,,,,,,,,,,63,2.44791162,375.9751624,2.3,3885.574,S1450_AD2,33.501,5.634,5.036,6.7,0.17,0,0,0,S1462_AD2,0,0,0.1,0.22,46.45,5.59,0.56,0.59,0.29,0.35,2.69,0.07,#180,S1444_AD2,186.33,1.249,1.5626,18.49,18.5,438.00,451.54,6.41,451.57,10.45,4.04,0.96,24.05,72.31,0.66,
685,21/6/2023,AD3,Control,Control,112,17,SteadyState/Postfoam,,,,,,,,,,,,,51,2.20623297,338.8556974,2.5,4325.947,S1451_AD3,34.209,5.859,5.067,6.8,0.17,0,0,0,S1463_AD3,0.98,0,0,0.29,1472.65,407.37,107.09,182.96,182.57,79.37,7.34,46.36,#181,S1445_AD3,144.67,0.7638,1.2134,14.20,14.2,580.00,600.72,7.81,602.92,11.99,4.45,0.96,28.33,101.39,0.70,
686,21/6/2023,AD4,Control,Control,112,17,SteadyState/Postfoam,,,,,,,,,,,,,69,2.64378606,406.059551,1.8,3831.574,S1452_AD4,33.867,5.606,5.274,6.4,0.17,0,0,0,S1464_AD4,0,0,0,0.28,45.33,9.13,1.17,1.86,1.57,0.87,2.43,0.54,#182,S1446_AD4,172.33,1.0926,1.296,17.50,17.5,495.00,515.63,8.24,515.44,11.15,4.21,0.96,22.66,83.74,0.68,
687,21/6/2023,AD5,Treatment,Treatment,112,17,SteadyState/Postfoam,,,,,,,,,,,,,63,2.80207746,430.3715541,2.2,4447.742,S1453_AD5,32.798,4.967,4.605,7.1,0.15,0,0,0,S1465_AD5,0,0,0,0.62,76.77,5.31,0.73,0.77,2.4,0.44,8.3,0.49,#183,S1447_AD5,177.67,1.2211,1.6815,17.87,17.9,418.00,436.03,7.83,438.15,10.34,3.86,0.94,17.55,68.38,0.64,
688,21/6/2023,AD6,Treatment,Treatment,112,17,SteadyState/Postfoam,,,,,,,,,,,,,64,2.31756608,355.9553687,1.9,3621.197,S1454_AD6,21.362,3.155,3.226,6.6,0.15,0,0,0,S1466_AD6,0,0,0.18,0.24,52.69,5.93,0.5,0.57,1.22,0.32,3.72,0,#184,S1448_AD6,154.33,1.1195,1.3957,15.81,15.8,493.00,507.17,6.76,503.77,11.03,4.31,0.96,27.60,83.33,0.70,
682,21/6/2023,PSTWAS,PSTWAS,PSTWAS,112,17,SteadyState/Postfoam,F141,3.4,84.78,2.89,,F136,6.21,F140,59650,,,,,,,,,F135,55.494,8.992,6.155,9,0.16,0,0,0,,,,,,,,,,,,,,#185,F133,205.33,0.3077,0.6464,18.70,18.7,894.00,916.52,9.03,908.85,14.66,5.80,0.99,106.94,172.14,0.85,
713,26/6/2023,AD1,Control,Control,117,18,SteadyState/Postfoam,,,,,,S1524_AD1,7.09,S1500_AD1,26225,1250,19.40882519,58.64637276,67,3.37930178,462.6012019,1.6,5043.734,S1512_AD1,34.503,5.578,5.607,6.2,0.16,0,0,0,S1524_AD1,0,0,0,0.25,47.58,7.95,0.69,0.76,0.52,0.38,2.92,0.29,#186,S1506_AD1,251,0.9697,2.0135,25.43,25.4,722.00,765.89,12.95,760.93,13.40,4.62,0.97,35.37,132.36,0.70,
714,26/6/2023,AD2,Treatment,Treatment,117,18,SteadyState/Postfoam,,,,,,S1525_AD2,7.25,S1501_AD2,23587.5,1350,30.09051373,62.80538865,69,2.97317412,407.0053552,1.9,4308.948,S1513_AD2,33.901,5.594,5.221,6.5,0.17,0,0,0,S1525_AD2,0,0,0,0.32,63.29,8.02,0.82,0.74,1.43,0.36,5.17,0.13,#187,S1507_AD2,210.67,0.8985,1.7915,21.19,21.2,544.00,569.14,9.72,562.24,11.52,4.19,0.96,25.36,93.83,0.66,
715,26/6/2023,AD3,Control,Control,117,18,SteadyState/Postfoam,,,,,,S1526_AD3,7.14,S1502_AD3,23937.5,1325,23.04003227,62.25348133,76,4.07376948,557.6686489,1.1,5360.223,S1514_AD3,34.188,5.632,5.32,6.4,0.16,0,0,0,S1526_AD3,0,0,0.23,0.68,94.79,60.27,1.43,1.19,1.46,1.11,3.72,0,#188,S1508_AD3,181.67,0.7514,1.5373,17.99,18,628.00,660.05,11.59,650.05,12.56,4.70,0.97,39.20,111.66,0.73,
716,26/6/2023,AD4,Control,Control,117,18,SteadyState/Postfoam,,,,,,S1527_AD4,7.28,S1503_AD4,25094,1325,31.59511561,60.42982185,71,3.15553252,431.9688597,1.2,4444.412,S1515_AD4,34.949,5.834,5.341,6.5,0.17,0,0,0,S1527_AD4,0,0,0,0.19,36.38,6.1,0.55,0.61,1.13,0.29,2.41,0.09,#189,S1509_AD4,208.67,0.7904,1.4693,19.84,19.8,564.00,586.19,8.50,583.94,11.79,4.36,0.97,30.74,98.02,0.69,
717,26/6/2023,AD5,Treatment,Treatment,117,18,SteadyState/Postfoam,,,,,,S1528_AD5,7.26,S1504_AD5,22081.5,1275,29.06568741,65.18016702,71,2.16075081,295.7906653,1,3043.311,S1516_AD5,34.373,4.928,4.954,6.9,0.14,0,0,0,S1528_AD5,0,0,0,0.56,32.29,4.93,0,0.53,1.14,0.26,2.37,0.06,#190,S1510_AD5,203.67,0.9373,1.9471,20.70,20.7,498.00,517.00,8.22,512.45,11.15,3.90,0.94,15.54,84.35,0.63,
718,26/6/2023,AD6,Treatment,Treatment,117,18,SteadyState/Postfoam,,,,,,S1529_AD6,7.45,S1505_AD6,23100,1175,40.97400919,63.57411671,66,2.83442478,388.0116057,2.7,4294.583,S1517_AD6,33.237,5.666,4.766,7,0.17,0,0,0,S1529_AD6,0,0,0,0.26,42.53,4.49,0.42,0.52,0.89,0.34,1.67,0.12,#191,S1511_AD6,173,0.7335,1.4955,16.94,16.9,593.00,616.15,9.36,608.35,12.10,4.45,0.97,30.64,104.15,0.70,
726,28/6/2023,PSTWAS,PSTWAS,PSTWAS,119,18,SteadyState/Postfoam,F150,3.51,83.33,2.94,,F145,5.78,F149,64450,,,,,,,,,F144,41.91,6.972,5.266,8,0.17,0,0,0,,,,,,,,,,,,,,#192,F142,212.67,0.3393,0.7475,21.70,21.7,1030.00,1061.09,10.22,1055.17,15.96,5.98,0.99,155.42,205.24,0.86,
725,28/6/2023,Full-scale,Full-scale,Full-scale,119,18,SteadyState/Postfoam,S1563_ADFull,2.08,72.41,1.56,46.954141,S1557_ADFull,7.31,S1564_ADFull,27006.5,950,24.23191065,57.41404255,,,,,,S1556_ADFull,36.667,5.882,6.032,6.1,0.16,0,0,0,,,,,,,,,,,,,,#193,S1554_ADFull,228.5,0.6844,1.1925,18.48,23.1,782.00,808.82,9.29,806.53,14.00,5.07,0.98,41.98,145.97,0.76,
770,5/7/2023,AD1,Control,Control,126,19,SteadyState/Postfoam,,,,,,,,,,,,,,,,,2650.012,,,,,,,,,,,,,,,,,,,,,,,#194,S1583_AD1,248.33,0.914,1.8481,23.97,24,605.00,619.72,6.40,619.12,12.19,4.51,0.97,31.37,106.71,0.70,
771,5/7/2023,AD2,Treatment,Treatment,126,19,SteadyState/Postfoam,,,,,,,,,,,,,,,,,3932.795,,,,,,,,,,,,,,,,,,,,,,,#195,S1584_AD2,209,0.8986,1.7562,21.20,21.2,595.00,619.18,8.90,616.67,12.09,4.33,0.97,29.34,104.58,0.68,
772,5/7/2023,AD3,Control,Control,126,19,SteadyState/Postfoam,,,,,,,,,,,,,,,,,4620.283,,,,,,,,,,,,,,,,,,,,,,,#196,S1585_AD3,225.67,0.9581,1.7335,22.93,22.9,665.00,688.82,8.53,689.22,12.84,4.51,0.96,28.46,119.72,0.69,
773,5/7/2023,AD4,Control,Control,126,19,SteadyState/Postfoam,,,,,,,,,,,,,,,,,4335.376,,,,,,,,,,,,,,,,,,,,,,,#197,S1586_AD4,287,1.1576,,#VALUE!,29,538.00,553.92,6.50,559.03,11.63,4.30,0.97,29.70,92.58,0.68,
774,5/7/2023,AD5,Treatment,Treatment,126,19,SteadyState/Postfoam,,,,,,,,,,,,,,,,,4406.945,,,,,,,,,,,,,,,,,,,,,,,#198,S1587_AD5,231.33,1.054,2.2443,23.27,23.3,552.00,569.83,7.51,566.89,11.60,4.08,0.95,19.27,95.50,0.65,
775,5/7/2023,AD6,Treatment,Treatment,126,19,SteadyState/Postfoam,,,,,,,,,,,,,,,,,4163.122,,,,,,,,,,,,,,,,,,,,,,,#199,S1588_AD6,199,0.8212,1.7137,18.97,19,622.00,644.62,8.65,641.01,12.37,4.33,0.96,23.70,110.36,0.67,
769,5/7/2023,PSTWAS,PSTWAS,PSTWAS,126,19,SteadyState/Postfoam,F168,3.655,83.965,3.07,,F154,6.38,F158,59450,,,,,,,,,F153,42.898,7.291,4.996,8.6,0.17,0,0,0,,,,,,,,,,,,,,#200,F151,374.5,0.6261,1.0992,36.68,36.7,942.00,955.23,5.89,954.18,15.10,5.87,0.99,123.17,183.66,0.86,
812,12/7/2023,PSTWAS,PSTWAS,PSTWAS,133,20,SteadyState/Postfoam,F169,3.37,89.19,3,,F163,6,F167,56200,,,,,,,,,F162,43.532,6.575,5.21,8.4,0.15,0,0,0,,,,,,,,,,,,,,#207,F160,291.5,0.5261,0.9749,29.12,29.1,990.00,1005.31,6.44,1003.52,15.63,5.86,0.99,117.22,195.36,0.85,
843,17/7/2023,AD1,Control,Control,138,21,SteadyState,,,,,,_jake1,7.52,S1613_AD1,24125,1175,47.84843848,58.27035039,,,,,5102.402,S1625_AD1,35.727,5.644,5.283,6.8,0.16,0,0,0,S1637_AD1,0,0,0,0.39,54.46,20.32,1.05,0.53,1.07,0.32,2.09,0.13,#208,S1619_AD1,229.5,0.9619,1.7189,23.21,23.2,556.00,569.20,6.26,567.76,11.77,4.45,0.97,31.04,96.34,0.70,
